🏀  March Madness Champions — Regular Season Statistical Profile,,,,,,,,,,,,,,,,,
Source: CollegeBasketballData.com API  |  Regular Season Stats Only  |  Auto-Generated,,,,,,,,,,,,,,,,,
Year,Champion,Seed,Adj. Off. Eff.,Adj. Def. Eff.,Tempo (Pace),3PA / game,3P%,TOV Ratio,TOV / game,TRB%,ORB%,DRB%,Steals / game,Blocks / game,Off. Eff. Rank,Def. Eff. Rank,
2025,Florida Gators,1,126.5,91.9,68.1,27.4,35.6%,0.16,11.1,55.6%,38.5%,71.0%,7.4,4.5,1,1,
2024,UConn Huskies,1,126.7,92.3,65.6,23.8,35.8%,0.15,9.6,56.4%,36.7%,73.3%,6.2,5.4,1,1,
2023,UConn Huskies,4,108.8,103.9,65.5,24.9,36.3%,0.20,12.9,56.7%,38.4%,74.0%,6.3,4.9,1,1,
2022,Kansas Jayhawks,1,119.4,93.0,67.9,19.8,36.1%,0.17,12.1,53.4%,32.9%,71.5%,6.3,4.3,1,1,
2021,Baylor Bears,1,122.0,93.0,68.1,24.1,41.3%,0.17,11.5,53.2%,37.3%,69.4%,8.9,3.7,1,1,
2019,Virginia Cavaliers,1,117.7,93.3,59.1,21.4,39.5%,0.15,9.0,53.9%,30.4%,74.5%,5.6,3.9,1,1,
2018,Villanova Wildcats,1,126.4,120.1,66.4,28.9,40.1%,0.16,10.6,52.3%,29.6%,72.9%,6.5,4.0,1,1,
2017,North Carolina Tar Heels,1,108.0,103.7,71.7,19.9,35.5%,0.16,11.8,58.2%,41.4%,75.3%,7.1,3.5,1,1,
2016,Villanova Wildcats,2,120.3,90.1,66.7,24.0,36.2%,0.16,11.0,51.2%,28.2%,70.6%,7.0,3.4,1,1,
2015,Duke Blue Devils,1,119.4,95.3,63.1,18.8,38.7%,0.17,10.8,53.9%,35.8%,69.8%,7.1,3.8,1,1,
2014,UConn Huskies,7,111.4,107.7,61.5,18.5,38.7%,0.18,11.4,50.3%,30.4%,67.2%,7.0,5.8,1,1,
2013,Louisville Cardinals,1,Null,Null,12.3,13.2,32.7%,0.78,16.1,52.7%,38.1%,66.9%,8.7,3.5,Null,Null,
2012,Kentucky Wildcats,1,Null,Null,3.9,12.0,39.0%,2.32,8.9,54.8%,38.3%,68.4%,4.9,7.0,Null,Null,
2011,UConn Huskies,3,Null,Null,50.6,17.3,32.9%,0.21,11.4,52.9%,38.8%,65.9%,6.3,5.6,Null,Null,
2010,Duke Blue Devils,1,Null,Null,76.5,19.1,38.7%,0.14,10.7,54.5%,41.0%,67.8%,6.5,4.0,Null,Null,
2009,North Carolina Tar Heels,1,Null,Null,67.3,17.9,38.7%,0.18,12.4,54.1%,39.2%,67.8%,8.6,5.2,Null,Null,
